"","x"
"1","TCGA-EM-A2CS-06A"
"2","TCGA-J8-A4HW-06A"
"3","TCGA-EM-A3FQ-06A"
"4","TCGA-EM-A2P1-06A"
"5","TCGA-EM-A3SU-06A"
"6","TCGA-J8-A3O2-06A"
"7","TCGA-J8-A3YH-06A"
"8","TCGA-DE-A4MD-06A"
