"","x"
"159","TCGA-DJ-A3VJ-01A"
"160","TCGA-J8-A3O1-01A"
"161","TCGA-EM-A2OV-01A"
"162","TCGA-EM-A3O7-01A"
"163","TCGA-BJ-A0ZH-01A"
"164","TCGA-EL-A4K9-01A"
"165","TCGA-EM-A1YA-01A"
"166","TCGA-E3-A3E2-01A"
"167","TCGA-EM-A3O8-01A"
"168","TCGA-EL-A3ZR-01A"
"169","TCGA-BJ-A191-01A"
"170","TCGA-DE-A4MB-01A"
"171","TCGA-DJ-A3VG-01A"
"172","TCGA-ET-A25O-01A"
"173","TCGA-DJ-A3VF-01A"
"174","TCGA-J8-A3YF-01A"
"175","TCGA-EL-A4JV-01A"
"176","TCGA-E3-A3E5-01A"
"177","TCGA-KS-A4IC-01A"
"178","TCGA-EM-A2CP-01A"
"179","TCGA-J8-A3NZ-01A"
"180","TCGA-BJ-A18Y-01A"
"181","TCGA-EL-A3CL-01A"
"182","TCGA-DJ-A3V0-01A"
"183","TCGA-EL-A3ZL-01A"
"184","TCGA-EL-A3T3-01A"
"185","TCGA-BJ-A2N9-01A"
"186","TCGA-ET-A3BO-01A"
"187","TCGA-DJ-A3UK-01A"
"188","TCGA-IM-A3EB-01A"
"189","TCGA-DJ-A2Q4-01A"
"190","TCGA-EM-A4FH-01A"
"191","TCGA-EL-A3T9-01A"
"192","TCGA-E8-A44M-01A"
"193","TCGA-BJ-A2N8-01A"
"194","TCGA-ET-A3DR-01A"
"195","TCGA-BJ-A45I-01A"
"196","TCGA-EL-A3GY-01A"
"197","TCGA-DJ-A2PS-01A"
"198","TCGA-DJ-A2PU-01A"
"199","TCGA-J8-A4HW-01A"
"200","TCGA-FY-A3RA-01A"
"201","TCGA-DJ-A1QQ-01A"
"202","TCGA-E8-A2JQ-01A"
"203","TCGA-EM-A22Q-01A"
"204","TCGA-EL-A3T6-01A"
"205","TCGA-ET-A3BP-01A"
"206","TCGA-EM-A2CL-01A"
"207","TCGA-CE-A482-01A"
"208","TCGA-EM-A2OX-01A"
"209","TCGA-EL-A3GX-01A"
"210","TCGA-DJ-A4UQ-01A"
"211","TCGA-BJ-A3F0-01A"
"212","TCGA-DJ-A2Q6-01A"
"213","TCGA-ET-A2N3-01B"
"214","TCGA-E8-A415-01A"
"215","TCGA-DJ-A3VA-01A"
"216","TCGA-CE-A3ME-01A"
"217","TCGA-FY-A40M-01A"
"218","TCGA-FK-A3SE-01A"
"219","TCGA-BJ-A0Z5-01A"
"220","TCGA-FY-A76V-01A"
"221","TCGA-DJ-A13T-01A"
"222","TCGA-EL-A3CX-01A"
"223","TCGA-DJ-A3VM-01A"
"224","TCGA-DJ-A3VE-01A"
"225","TCGA-FY-A40L-01A"
"226","TCGA-BJ-A2N7-01A"
"227","TCGA-FY-A3I4-01A"
"228","TCGA-DJ-A2PT-01A"
"229","TCGA-ET-A25K-01A"
"230","TCGA-EL-A3MW-01A"
"231","TCGA-EM-A4FV-01A"
"232","TCGA-DJ-A1QL-01A"
"233","TCGA-DJ-A3UQ-01A"
"234","TCGA-DJ-A3VK-01A"
"235","TCGA-FY-A4B3-01A"
"236","TCGA-ET-A25R-01A"
"237","TCGA-CE-A27D-01A"
"238","TCGA-EL-A4KH-01A"
"239","TCGA-BJ-A45H-01A"
"240","TCGA-EL-A4K2-01A"
"241","TCGA-EM-A4FF-01A"
"242","TCGA-EM-A2CJ-01A"
"243","TCGA-EM-A1CV-01A"
"244","TCGA-EL-A3H4-01A"
"245","TCGA-DJ-A3V4-01A"
"246","TCGA-E8-A418-01A"
"247","TCGA-DJ-A2Q3-01A"
"248","TCGA-BJ-A28Z-01A"
"249","TCGA-EM-A3FQ-01A"
"250","TCGA-BJ-A0ZB-01A"
"251","TCGA-EM-A2CT-01A"
"252","TCGA-ET-A3DS-01A"
"253","TCGA-EM-A22N-01A"
"254","TCGA-ET-A3DO-01A"
"255","TCGA-FK-A4UB-01A"
"256","TCGA-DJ-A2Q9-01A"
"257","TCGA-KS-A4I3-01A"
"258","TCGA-QD-A8IV-01A"
"259","TCGA-DJ-A13L-01A"
"260","TCGA-EL-A3GS-01A"
"261","TCGA-BJ-A45K-01A"
"262","TCGA-ET-A25N-01A"
"263","TCGA-BJ-A0ZA-01A"
"264","TCGA-E8-A434-01A"
"265","TCGA-DJ-A13P-01A"
"266","TCGA-CE-A485-01A"
"267","TCGA-DE-A2OL-01A"
"268","TCGA-DJ-A4V0-01A"
"269","TCGA-DJ-A2PQ-01A"
"270","TCGA-EM-A4FK-01A"
"271","TCGA-BJ-A0ZJ-01A"
"272","TCGA-EM-A1CU-01A"
"273","TCGA-IM-A3U2-01A"
"274","TCGA-EL-A3ZT-01A"
"275","TCGA-ET-A3BX-01A"
"276","TCGA-DJ-A13O-01A"
"277","TCGA-EM-A1YC-01A"
"278","TCGA-DJ-A2PX-01A"
"279","TCGA-FY-A40N-01A"
"280","TCGA-EM-A22P-01A"
"281","TCGA-EM-A3ST-01A"
"282","TCGA-EM-A2P2-01A"
"283","TCGA-KS-A41F-01A"
"284","TCGA-CE-A481-01A"
"285","TCGA-IM-A4EB-01A"
"286","TCGA-FY-A3YR-01A"
"287","TCGA-EM-A3FP-01A"
"288","TCGA-EM-A2OZ-01A"
"289","TCGA-EL-A3ZS-01A"
"290","TCGA-EM-A1YD-01A"
"291","TCGA-EM-A2P1-01A"
